name,channels
Tasnim,tasnimnews|Tasnimnews_Fa|tasnimnews_official
Fars News,farsna|farsnews_agency|farsnews
Etemad,etemadonline|etemadnewspaper
Amwaj.media,amwajmedia|amwaj_media
The Times of Israel,timesofisrael|TimesofIsrael_news
Calcalist,calcalist|calcalistech
Kan 11,kann_news|kannews|kanchadashot
Forbes Ukraine,forbesukraine|forbes_ukraine
Verstka,verstka_media|svobodnieslova
Faridaily,faridaily|faridailychannel
Nasha Niva,nashaniva|nashaniva_by
Tengrinews,tengrinews|tengrinewskz
T24,t24comtr|t24haber
Gazete Duvar,gazeteduvar|gazeteduvarcom
ThePrint,theprintindia|ThePrintIndia
The Wire,thewirein|thewire_in
Capital,capitalbg|capital_bg
PAP,pap_pl|PAPinformacje
Xinhua,XHNews|xinhuanews
People's Daily,PDChina|peoplesdaily
