country,name,lang,domain,pole,tier,feed,owner
Africa,The Africa Report,en,theafricareport.com,analysis,2,https://www.theafricareport.com/feed/,
Argentina,Ambito Financiero,es,ambito.com,business,2,https://www.ambito.com/rss/pages/economia.xml,
Argentina,Clarin,es,clarin.com,center-right,2,,Grupo Clarín
Argentina,Infobae,es,infobae.com,mainstream,2,,
Argentina,La Nacion,es,lanacion.com.ar,center-right,2,https://www.lanacion.com.ar/arc/outboundfeeds/rss/?outputType=xml|https://www.lanacion.com.ar/arc/outboundfeeds/rss/,
Argentina,Pagina 12,es,pagina12.com.ar,left,2,,
Australia,ABC News,en,abc.net.au,public,2,https://www.abc.net.au/news/feed/51120/rss.xml,
Australia,Australian Financial Review,en,afr.com,business,2,https://www.afr.com/rss/world|https://www.afr.com/rss/feed,Nine Entertainment
Australia,Guardian Australia,en,theguardian.com,center-left,2,https://www.theguardian.com/australia-news/rss,Scott Trust
Australia,Sydney Morning Herald,en,smh.com.au,center-left,2,,Nine Entertainment
Austria,Der Standard,de,derstandard.at,center-left,2,,
Austria,Die Presse,de,diepresse.com,center-right,2,,
Austria,ORF,de,orf.at,public,2,,
Belarus,BelTA,ru,belta.by,state,2,,
Belarus,Nasha Niva,be,nashaniva.com,exile,2,https://nashaniva.com/feed/|https://nashaniva.com/rss/,
Belarus,Zerkalo,ru,news.zerkalo.io,exile,2,https://news.zerkalo.io/feed/|https://news.zerkalo.io/rss.xml,
Belgium,De Standaard,nl,standaard.be,center-right,2,https://www.standaard.be/rss/section/1f2838d4-99ea-49f0-9102-138784c7ea7c,
Belgium,Le Soir,fr,lesoir.be,center-left,2,https://www.lesoir.be/arc/outboundfeeds/rss/?outputType=xml|https://www.lesoir.be/rss.xml,
Belgium,VRT NWS,nl,vrt.be,public,2,https://www.vrt.be/vrtnws/nl.rss.articles.xml,
Bosnia,Klix,bs,klix.ba,reference,2,,
Brazil,Estadao,pt,estadao.com.br,center-right,2,https://www.estadao.com.br/rss/ultimas.xml|https://www.estadao.com.br/rss/internacional.xml,
Brazil,Folha de S.Paulo,pt,folha.uol.com.br,center-left,2,https://feeds.folha.uol.com.br/emcimadahora/rss091.xml,
Brazil,Gazeta do Povo,pt,gazetadopovo.com.br,conservative,2,https://www.gazetadopovo.com.br/feed/rss/republica.xml|https://www.gazetadopovo.com.br/feed/,
Brazil,O Globo,pt,oglobo.globo.com,center-right,2,,Grupo Globo
Brazil,Poder360,pt,poder360.com.br,reference,2,,
Brazil,UOL,pt,uol.com.br,mainstream,2,,
Brazil,Valor Economico,pt,valor.globo.com,business,2,,Grupo Globo
Bulgaria,Capital,bg,capital.bg,business,2,https://www.capital.bg/rss/|https://www.capital.bg/rss/?rubrid=0,
Bulgaria,Dnevnik,bg,dnevnik.bg,center-right,2,https://www.dnevnik.bg/rss/,
Bulgaria,Mediapool,bg,mediapool.bg,independent,2,https://www.mediapool.bg/rss/,
Canada,CBC News,en,cbc.ca,public,2,https://www.cbc.ca/webfeed/rss/rss-topstories|https://www.cbc.ca/cmlink/rss-world,
Canada,National Post,en,nationalpost.com,center-right,2,https://nationalpost.com/feed/|https://nationalpost.com/category/news/world/feed/,
Canada,The Globe and Mail,en,theglobeandmail.com,center,2,https://www.theglobeandmail.com/arc/outboundfeeds/rss/category/world/,
China,Caixin,zh,caixin.com,independent-business,1,https://www.caixinglobal.com/feed/|https://rsshub.rssforever.com/caixin/latest|https://hub.slarker.me/caixin/latest|https://rsshub.app/caixin/latest,
China,China Digital Times,en,chinadigitaltimes.net,censorship-watch,2,https://chinadigitaltimes.net/feed/,
China,ChinaTalk,en,chinatalk.media,china-watch,2,https://www.chinatalk.media/feed,
China,Ginger River Review,en,gingerriver.com,china-watch,2,https://www.gingerriver.com/feed,
China,Global Times,en,globaltimes.cn,state-nationalist,1,https://www.globaltimes.cn/rss/outbrain.xml,КПК
China,Guancha,zh,guancha.cn,nationalist,2,https://rsshub.rssforever.com/guancha/headline|https://hub.slarker.me/guancha/headline|https://rsshub.app/guancha/headline,
China,Hong Kong Free Press,en,hongkongfp.com,independent,2,https://hongkongfp.com/feed/,
China,Pekingnology,en,pekingnology.com,china-watch,2,https://www.pekingnology.com/feed,
China,People's Daily,zh,people.com.cn,party-organ,1,http://en.people.cn/rss/China.xml|http://www.people.com.cn/rss/politics.xml,КПК
China,Sinocism,en,sinocism.com,analysis,2,,
China,Sixth Tone,en,sixthtone.com,state-adjacent,2,https://www.sixthtone.com/rss|https://www.sixthtone.com/feed,
China,South China Morning Post,en,scmp.com,hongkong,1,,
China,The Paper,zh,thepaper.cn,mainstream,2,https://rsshub.rssforever.com/thepaper/featured|https://hub.slarker.me/thepaper/featured|https://rsshub.app/thepaper/featured,
China,The Wire China,en,thewirechina.com,business-analysis,2,https://www.thewirechina.com/feed/,
China,Trivium China,en,triviumchina.com,china-watch,2,https://triviumchina.com/feed/,
China,What's on Weibo,en,whatsonweibo.com,china-watch,2,https://www.whatsonweibo.com/feed/,
China,Xinhua,zh,xinhuanet.com,state,1,http://www.news.cn/english/rss/worldrss.xml|https://english.news.cn/rss/world.xml,Держава КНР
China,Yicai,zh,yicai.com,business,2,https://rsshub.rssforever.com/yicai/brief|https://hub.slarker.me/yicai/brief|https://rsshub.app/yicai/brief,
Croatia,Index.hr,hr,index.hr,independent,2,,
Croatia,Jutarnji list,hr,jutarnji.hr,center,2,,
Croatia,N1 Croatia,hr,n1info.hr,reference,2,,
Czechia,Denik N,cs,denikn.cz,center-right,2,,
Czechia,Hospodarske noviny,cs,hn.cz,business,2,https://hn.cz/?m=rss,
Czechia,Seznam Zpravy,cs,seznamzpravy.cz,investigative,2,,
Czechia,iDNES,cs,idnes.cz,center,2,,
Denmark,DR,da,dr.dk,public,2,https://www.dr.dk/nyheder/service/feeds/allenyheder,
Denmark,Jyllands-Posten,da,jyllands-posten.dk,center-right,2,,
Denmark,Politiken,da,politiken.dk,center-left,2,https://politiken.dk/rss/senestenyt.rss,
EU-Brussels,EUobserver,en,euobserver.com,center-left,2,,
EU-Brussels,Euractiv,en,euractiv.com,reference,1,https://www.euractiv.com/feed/|https://www.euractiv.com/sections/all/feed/,
EU-Brussels,Euronews,en,euronews.com,reference,2,,
EU-Brussels,Politico Europe,en,politico.eu,reference,1,,Axel Springer
Estonia,ERR,et,err.ee,public,2,,
Estonia,Postimees,et,postimees.ee,center-right,2,,
Finland,Helsingin Sanomat,fi,hs.fi,center,2,https://www.hs.fi/rss/tuoreimmat.xml,
Finland,Yle,fi,yle.fi,public,2,,
France,France 24,fr,france24.com,public,2,,
France,Le Figaro,fr,lefigaro.fr,center-right,1,https://www.lefigaro.fr/rss/figaro_actualites.xml,Groupe Dassault
France,Le Monde,fr,lemonde.fr,center-left,1,,Groupe Le Monde
France,Les Echos,fr,lesechos.fr,business,1,https://www.lesechos.fr/rss/rss_une_titres.xml|https://services.lesechos.fr/rss/les-echos-monde.xml,LVMH
France,Liberation,fr,liberation.fr,left,1,https://www.liberation.fr/arc/outboundfeeds/rss/?outputType=xml,
France,Mediapart,fr,mediapart.fr,investigative-left,2,https://www.mediapart.fr/articles/feed,
Germany,Bild,de,bild.de,tabloid,2,"https://www.bild.de/feed/alles.xml|https://www.bild.de/rssfeeds/vw-alles/vw-alles-16725562,dzbildplus=true,view=rss2,wtmc=ob.feed.xml",Axel Springer
Germany,Der Spiegel,de,spiegel.de,center-left,1,,
Germany,Die Welt,de,welt.de,right,1,https://www.welt.de/feeds/topnews.rss,Axel Springer
Germany,Die Zeit,de,zeit.de,center-left-analysis,2,,
Germany,Frankfurter Allgemeine,de,faz.net,center-right,1,,
Germany,Handelsblatt,de,handelsblatt.com,business,1,https://www.handelsblatt.com/contentexport/feed/schlagzeilen,
Germany,Sueddeutsche Zeitung,de,sueddeutsche.de,center-left,1,https://rss.sueddeutsche.de/rss/Topthemen,
Germany,Tagesschau ARD,de,tagesschau.de,public,1,,
Germany,taz,de,taz.de,left,2,https://taz.de/!p4608;rss/|https://taz.de/rss.xml,
Global,Al Jazeera English,en,aljazeera.com,center-left,1,,Катар
Global,Defense One,en,defenseone.com,defense,2,https://www.defenseone.com/rss/all/,
Global,Deutsche Welle,en,dw.com,reference,1,https://rss.dw.com/rdf/rss-en-all|https://rss.dw.com/xml/rss-en-all,
Global,Financial Times,en,ft.com,business,1,https://www.ft.com/rss/home|https://www.ft.com/world?format=rss,
Global,Foreign Affairs,en,foreignaffairs.com,analysis,2,,
Global,Foreign Policy,en,foreignpolicy.com,analysis,2,https://foreignpolicy.com/feed/,
Global,Lawfare,en,lawfaremedia.org,law-security,2,https://www.lawfaremedia.org/feeds/articles,
Global,Nikkei Asia,en,asia.nikkei.com,business,1,https://asia.nikkei.com/rss/feed/nar,
Global,OilPrice,en,oilprice.com,energy,2,https://oilprice.com/rss/main,
Global,Rest of World,en,restofworld.org,tech-emerging,2,https://restofworld.org/feed/latest/|https://restofworld.org/feed/,
Global,The Diplomat,en,thediplomat.com,asia-analysis,2,https://thediplomat.com/feed/,
Global,The Economist,en,economist.com,analysis,1,https://www.economist.com/international/rss.xml,Exor / Agnelli
Global,UN News,en,news.un.org,multilateral,2,https://news.un.org/feed/subscribe/en/news/all/rss.xml,
Global,War on the Rocks,en,warontherocks.com,defense-analysis,2,https://warontherocks.com/feed/,
Global,gCaptain,en,gcaptain.com,shipping,2,https://gcaptain.com/feed/,
Greece,Efimerida ton Syntakton,el,efsyn.gr,left,2,,
Greece,Kathimerini,el,kathimerini.gr,center-right,2,https://www.ekathimerini.com/feed/|https://www.kathimerini.gr/rss/,
Greece,Ta Nea,el,tanea.gr,center-left,2,,
Hungary,444,hu,444.hu,independent-left,2,,
Hungary,HVG,hu,hvg.hu,business-independent,2,,
Hungary,Index,hu,index.hu,center,2,,
Hungary,Magyar Nemzet,hu,magyarnemzet.hu,pro-government,2,,
Hungary,Telex,hu,telex.hu,independent,2,,
Iceland,RUV,is,ruv.is,public,2,,
India,Mint,en,livemint.com,business,2,,
India,NDTV,en,ndtv.com,mainstream,2,https://feeds.feedburner.com/ndtvnews-top-stories,
India,Scroll.in,en,scroll.in,left-critical,2,,
India,The Economic Times,en,economictimes.indiatimes.com,business,1,https://economictimes.indiatimes.com/rssfeedstopstories.cms,Bennett Coleman
India,The Hindu,en,thehindu.com,center-left,1,,
India,The Indian Express,en,indianexpress.com,investigative,1,https://indianexpress.com/section/world/feed/|https://indianexpress.com/feed/,
India,The Times of India,en,timesofindia.indiatimes.com,mainstream,1,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,Bennett Coleman
India,The Wire,en,thewire.in,left-critical,2,https://m.thewire.in/rss|https://thewire.in/rss/feed|https://thewire.in/rss,
India,ThePrint,en,theprint.in,analysis,2,https://theprint.in/feed/|https://theprint.in/world/feed/,
India,Times Now,en,timesnownews.com,tabloid,2,https://www.timesnownews.com/feeds/gns-world-news.xml|https://www.timesnownews.com/rss,Bennett Coleman
Iran,Amwaj.media,en,amwaj.media,analysis,2,https://amwaj.media/rss|https://amwaj.media/feed,
Iran,Etemad,fa,etemadnewspaper.ir,reformist,2,https://www.etemadnewspaper.ir/fa/rss/allnews|https://etemadnewspaper.ir/rss,
Iran,Fars News,fa,farsnews.ir,hardline,2,https://www.farsnews.ir/rss/allnews|https://www.farsnews.ir/showrss/all,
Iran,IRNA,fa,irna.ir,state,1,,Держава Ірану
Iran,Iran International,fa,iranintl.com,opposition-exile,1,,
Iran,Radio Farda,fa,radiofarda.com,exile,2,,
Iran,Shargh,fa,sharghdaily.com,reformist,1,,
Iran,Tasnim,fa,tasnimnews.com,hardline,1,https://www.tasnimnews.com/fa/rss/feed/0/7/0/|https://www.tasnimnews.com/en/rss/feed/0/8/0/,
Ireland,Irish Independent,en,independent.ie,center-right,2,https://www.independent.ie/rss/,
Ireland,RTE,en,rte.ie,public,2,https://www.rte.ie/feeds/rss/?index=/news/,
Ireland,The Irish Times,en,irishtimes.com,center,2,,
